station,month,avg_ridership
1 Av (L),1,1285.0812351190475
1 Av (L),2,1382.9029946428573
1 Av (L),3,1339.2153601190475
1 Av (L),4,1347.9730660714285
1 Av (L),5,1456.9873541666664
1 Av (L),6,1359.7506648809522
1 Av (L),7,1192.964851190476
1 Av (L),8,1291.0117982142858
1 Av (L),9,1557.3710702380952
1 Av (L),10,1740.7260220238093
1 Av (L),11,1626.852936904762
1 Av (L),12,1496.4637297619047
103 St (1),1,556.0885208333333
103 St (1),2,631.2552392857144
103 St (1),3,671.3716357142858
103 St (1),4,605.2228994047618
103 St (1),5,646.3455226190476
103 St (1),6,623.6346375000003
103 St (1),7,536.6339851190473
103 St (1),8,556.7722511904763
103 St (1),9,701.5886857142859
103 St (1),10,687.1120809523811
103 St (1),11,708.8993517857141
103 St (1),12,599.8596821428571
103 St (6),1,551.9675166666666
103 St (6),2,548.4459303571429
103 St (6),3,575.9138660714286
103 St (6),4,567.0005678571426
103 St (6),5,570.4417101190477
103 St (6),6,540.4949952380952
103 St (6),7,445.84140714285707
103 St (6),8,455.8186636904761
103 St (6),9,600.932488690476
103 St (6),10,645.0851916666663
103 St (6),11,637.3304726190474
103 St (6),12,617.9485791666666
"103 St (C,B)",1,235.63528511904764
"103 St (C,B)",2,231.66518214285722
"103 St (C,B)",3,241.9621505952381
"103 St (C,B)",4,237.5567464285714
"103 St (C,B)",5,258.70325297619047
"103 St (C,B)",6,267.47691607142855
"103 St (C,B)",7,225.97792440476184
"103 St (C,B)",8,221.57510119047618
"103 St (C,B)",9,262.5092607142858
"103 St (C,B)",10,273.3627559523809
"103 St (C,B)",11,213.7002880952382
"103 St (C,B)",12,247.43757380952383
103 St-Corona Plaza (7),1,1348.6339666666663
103 St-Corona Plaza (7),2,1384.1573845238095
103 St-Corona Plaza (7),3,1503.8192857142858
103 St-Corona Plaza (7),4,1485.7858583333332
103 St-Corona Plaza (7),5,1389.0681238095235
103 St-Corona Plaza (7),6,1340.3185452380949
103 St-Corona Plaza (7),7,1175.2538845238096
103 St-Corona Plaza (7),8,1217.7928892857144
103 St-Corona Plaza (7),9,1394.7412517857144
103 St-Corona Plaza (7),10,1413.151682142857
103 St-Corona Plaza (7),11,1397.0819357142855
103 St-Corona Plaza (7),12,1374.9328357142858
104 St (A),1,76.35183962121214
104 St (A),2,82.75967699368904
104 St (A),3,87.6138380952381
104 St (A),4,84.30067753155478
104 St (A),5,84.30049394069005
104 St (A),6,80.77002857142858
104 St (A),7,71.72340833333331
104 St (A),8,76.47096016924844
104 St (A),9,85.93850309751286
104 St (A),10,86.7246997188139
104 St (A),11,87.24061563739986
104 St (A),12,83.83869523809526
"104 St (J,Z)",1,128.5492160714286
"104 St (J,Z)",2,144.93842559523813
"104 St (J,Z)",3,140.36314285714286
"104 St (J,Z)",4,142.32613452380957
"104 St (J,Z)",5,141.14617440476195
"104 St (J,Z)",6,138.58718928571426
"104 St (J,Z)",7,122.46248154761905
"104 St (J,Z)",8,113.84018035714286
"104 St (J,Z)",9,149.9021285714286
"104 St (J,Z)",10,147.78271726190476
"104 St (J,Z)",11,136.21349880952374
"104 St (J,Z)",12,126.05116011904758
110 St (6),1,438.6603255952381
110 St (6),2,443.7065404761905
110 St (6),3,483.045126190476
110 St (6),4,466.32146904761913
110 St (6),5,463.6693071428573
110 St (6),6,439.6195035714285
110 St (6),7,346.42930297619046
110 St (6),8,366.94585773809524
110 St (6),9,451.7299398809521
110 St (6),10,545.6299642857145
110 St (6),11,551.5460619047618
110 St (6),12,518.0745178571431
111 St (7),1,280.4285375
111 St (7),2,302.4726130952382
111 St (7),3,322.00948928571427
111 St (7),4,407.4747244047619
111 St (7),5,529.2360720238096
111 St (7),6,522.8540226190473
111 St (7),7,452.13988095238096
111 St (7),8,466.0860964285715
111 St (7),9,568.3031089285714
111 St (7),10,599.8115148809525
111 St (7),11,577.435199404762
111 St (7),12,576.7869220238096
111 St (A),1,99.20960357142859
111 St (A),2,106.68766190476191
111 St (A),3,113.60108665526096
111 St (A),4,105.85303749999999
111 St (A),5,101.52301130952381
111 St (A),6,109.69713988095238
111 St (A),7,96.89819940476191
111 St (A),8,99.42862916666661
111 St (A),9,107.38491836309527
111 St (A),10,103.94541964285716
111 St (A),11,105.93650416666665
111 St (A),12,101.19875416666665
111 St (J),1,94.72347559523814
111 St (J),2,109.03419464285716
111 St (J),3,108.86098214285717
111 St (J),4,108.70353928571427
111 St (J),5,105.88462559523808
111 St (J),6,102.89864702380954
111 St (J),7,90.91218749999999
111 St (J),8,89.8829
111 St (J),9,128.5966083333334
111 St (J),10,126.2353875
111 St (J),11,114.89303630952381
111 St (J),12,108.28314226190476
"116 St (2,3)",1,384.3780892857142
"116 St (2,3)",2,420.58589047619057
