Month,Precinct,CrimeName,CrimeCount
Jan,14,ASSAULT 3 AND RELATED OFFENSES,11
Jan,14,DANGEROUS WEAPONS,2
Jan,14,FELONY ASSAULT,1
Jan,14,HARRASSMENT 2,4
Jan,14,OFF. AGNST PUB ORD SENSBLTY AND,2
Jan,14,OFFENSES AGAINST THE PERSON,2
Jan,14,ROBBERY,1
Jan,14,SEX CRIMES,1
Jan,18,ASSAULT 3 AND RELATED OFFENSES,13
Jan,18,FELONY ASSAULT,1
Jan,18,HARRASSMENT 2,5
Jan,18,MISCELLANEOUS PENAL LAW,1
Jan,18,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,18,ROBBERY,1
Jan,18,SEX CRIMES,1
Jan,19,HARRASSMENT 2,1
Jan,20,ASSAULT 3 AND RELATED OFFENSES,4
Jan,20,HARRASSMENT 2,3
Jan,20,ROBBERY,2
Jan,24,HARRASSMENT 2,1
Jan,1,ASSAULT 3 AND RELATED OFFENSES,10
Jan,1,FELONY ASSAULT,4
Jan,1,HARRASSMENT 2,6
Jan,5,ASSAULT 3 AND RELATED OFFENSES,4
Jan,6,ASSAULT 3 AND RELATED OFFENSES,3
Jan,6,HARRASSMENT 2,3
Jan,6,ROBBERY,1
Jan,10,FELONY ASSAULT,2
Jan,10,HARRASSMENT 2,3
Jan,10,SEX CRIMES,1
Jan,13,ASSAULT 3 AND RELATED OFFENSES,1
Jan,13,FELONY ASSAULT,1
Jan,13,HARRASSMENT 2,1
Jan,13,ROBBERY,1
Jan,13,SEX CRIMES,1
Jan,14,ASSAULT 3 AND RELATED OFFENSES,4
Jan,14,HARRASSMENT 2,2
Jan,24,FELONY ASSAULT,1
Jan,24,HARRASSMENT 2,7
Jan,24,ROBBERY,1
Jan,24,SEX CRIMES,2
Jan,26,ASSAULT 3 AND RELATED OFFENSES,2
Jan,26,HARRASSMENT 2,3
Jan,26,ROBBERY,3
Jan,28,ASSAULT 3 AND RELATED OFFENSES,1
Jan,28,HARRASSMENT 2,2
Jan,30,ASSAULT 3 AND RELATED OFFENSES,2
Jan,30,HARRASSMENT 2,1
Jan,30,OFF. AGNST PUB ORD SENSBLTY AND,2
Jan,32,ASSAULT 3 AND RELATED OFFENSES,1
Jan,33,ASSAULT 3 AND RELATED OFFENSES,2
Jan,33,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,33,ROBBERY,1
Jan,33,SEX CRIMES,1
Jan,34,FELONY ASSAULT,2
Jan,34,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,34,ROBBERY,1
Jan,50,HARRASSMENT 2,1
Jan,50,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,5,ASSAULT 3 AND RELATED OFFENSES,2
Jan,5,HARRASSMENT 2,1
Jan,7,ASSAULT 3 AND RELATED OFFENSES,4
Jan,7,HARRASSMENT 2,3
Jan,7,ROBBERY,1
Jan,9,HARRASSMENT 2,1
Jan,9,ROBBERY,1
Jan,13,ASSAULT 3 AND RELATED OFFENSES,5
Jan,13,HARRASSMENT 2,5
Jan,13,ROBBERY,2
Jan,13,SEX CRIMES,4
Jan,14,ASSAULT 3 AND RELATED OFFENSES,3
Jan,14,HARRASSMENT 2,3
Jan,17,ASSAULT 3 AND RELATED OFFENSES,6
Jan,17,HARRASSMENT 2,2
Jan,17,SEX CRIMES,1
Jan,19,ASSAULT 3 AND RELATED OFFENSES,1
Jan,19,FELONY ASSAULT,1
Jan,19,HARRASSMENT 2,3
Jan,19,MISCELLANEOUS PENAL LAW,1
Jan,19,SEX CRIMES,1
Jan,23,HARRASSMENT 2,2
Jan,23,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,25,ASSAULT 3 AND RELATED OFFENSES,8
Jan,25,FELONY ASSAULT,1
Jan,25,OFF. AGNST PUB ORD SENSBLTY AND,2
Jan,25,SEX CRIMES,2
Jan,40,ASSAULT 3 AND RELATED OFFENSES,1
Jan,40,FELONY ASSAULT,1
Jan,40,HARRASSMENT 2,2
Jan,44,ASSAULT 3 AND RELATED OFFENSES,4
Jan,44,HARRASSMENT 2,5
Jan,44,ROBBERY,3
Jan,46,ASSAULT 3 AND RELATED OFFENSES,1
Jan,46,FELONY ASSAULT,2
Jan,46,ROBBERY,2
Jan,52,ASSAULT 3 AND RELATED OFFENSES,1
Jan,52,FELONY ASSAULT,1
Jan,52,ROBBERY,3
Jan,52,SEX CRIMES,1
Jan,40,ASSAULT 3 AND RELATED OFFENSES,1
Jan,40,BURGLARY,1
Jan,40,HARRASSMENT 2,2
Jan,41,ROBBERY,4
Jan,43,ASSAULT 3 AND RELATED OFFENSES,1
Jan,43,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,43,ROBBERY,1
Jan,45,ASSAULT 3 AND RELATED OFFENSES,1
Jan,45,ROBBERY,1
Jan,47,ASSAULT 3 AND RELATED OFFENSES,4
Jan,47,DANGEROUS WEAPONS,1
Jan,47,ROBBERY,2
Jan,49,RAPE,1
Jan,102,BURGLARY,1
Jan,102,ROBBERY,1
Jan,102,SEX CRIMES,1
Jan,103,ASSAULT 3 AND RELATED OFFENSES,2
Jan,103,HARRASSMENT 2,1
Jan,108,ASSAULT 3 AND RELATED OFFENSES,8
Jan,108,FELONY ASSAULT,1
Jan,108,HARRASSMENT 2,3
Jan,108,OFF. AGNST PUB ORD SENSBLTY AND,2
Jan,108,SEX CRIMES,3
Jan,109,ASSAULT 3 AND RELATED OFFENSES,3
Jan,109,ROBBERY,1
Jan,110,ASSAULT 3 AND RELATED OFFENSES,5
Jan,110,HARRASSMENT 2,1
Jan,112,ASSAULT 3 AND RELATED OFFENSES,2
Jan,112,ROBBERY,1
Jan,114,ASSAULT 3 AND RELATED OFFENSES,3
Jan,114,HARRASSMENT 2,1
Jan,115,ASSAULT 3 AND RELATED OFFENSES,3
Jan,115,FELONY ASSAULT,1
Jan,115,HARRASSMENT 2,1
Jan,115,OFFENSES AGAINST THE PERSON,2
Jan,100,HARRASSMENT 2,1
Jan,101,ASSAULT 3 AND RELATED OFFENSES,1
Jan,101,HARRASSMENT 2,1
Jan,106,ASSAULT 3 AND RELATED OFFENSES,1
Jan,72,SEX CRIMES,1
Jan,76,ASSAULT 3 AND RELATED OFFENSES,1
Jan,76,HARRASSMENT 2,1
Jan,78,HARRASSMENT 2,1
Jan,79,FELONY ASSAULT,2
Jan,79,HARRASSMENT 2,1
Jan,79,ROBBERY,1
Jan,84,ASSAULT 3 AND RELATED OFFENSES,4
Jan,84,FELONY ASSAULT,1
Jan,84,HARRASSMENT 2,3
Jan,84,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,84,OFFENSES AGAINST THE PERSON,1
Jan,84,ROBBERY,1
Jan,88,ASSAULT 3 AND RELATED OFFENSES,1
Jan,88,FELONY ASSAULT,1
Jan,67,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,70,FELONY ASSAULT,2
Jan,71,ASSAULT 3 AND RELATED OFFENSES,2
Jan,71,HARRASSMENT 2,1
Jan,71,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,73,HARRASSMENT 2,1
Jan,75,ASSAULT 3 AND RELATED OFFENSES,2
Jan,77,ASSAULT 3 AND RELATED OFFENSES,2
Jan,77,HARRASSMENT 2,2
Jan,78,ASSAULT 3 AND RELATED OFFENSES,4
Jan,78,FELONY ASSAULT,1
Jan,78,HARRASSMENT 2,2
Jan,84,ASSAULT 3 AND RELATED OFFENSES,2
Jan,84,HARRASSMENT 2,2
Jan,88,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,73,ASSAULT 3 AND RELATED OFFENSES,5
Jan,73,FELONY ASSAULT,1
Jan,73,MISCELLANEOUS PENAL LAW,1
Jan,73,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,73,OFFENSES AGAINST THE PERSON,1
Jan,73,ROBBERY,1
Jan,73,SEX CRIMES,1
Jan,75,ASSAULT 3 AND RELATED OFFENSES,1
Jan,75,FELONY ASSAULT,2
Jan,75,ROBBERY,1
Jan,79,ASSAULT 3 AND RELATED OFFENSES,1
Jan,81,FELONY ASSAULT,1
Jan,81,HARRASSMENT 2,1
Jan,83,ASSAULT 3 AND RELATED OFFENSES,2
Jan,83,HARRASSMENT 2,2
Jan,83,ROBBERY,1
Jan,83,SEX CRIMES,1
Jan,90,ASSAULT 3 AND RELATED OFFENSES,1
Jan,90,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,90,OFFENSES AGAINST THE PERSON,3
Jan,90,ROBBERY,1
Jan,94,OFF. AGNST PUB ORD SENSBLTY AND,1
Jan,104,ASSAULT 3 AND RELATED OFFENSES,1
Jan,104,HARRASSMENT 2,1
Jan,60,ASSAULT 3 AND RELATED OFFENSES,3
Jan,61,HARRASSMENT 2,1
Jan,62,HARRASSMENT 2,2
Jan,66,ASSAULT 3 AND RELATED OFFENSES,1
Jan,68,ASSAULT 3 AND RELATED OFFENSES,1
Jan,70,ASSAULT 3 AND RELATED OFFENSES,1
Jan,70,HARRASSMENT 2,1
Jan,72,ASSAULT 3 AND RELATED OFFENSES,5
Jan,72,HARRASSMENT 2,1
Jan,72,ROBBERY,1
Feb,10,HARRASSMENT 2,1
Feb,10,ROBBERY,1
Feb,14,ASSAULT 3 AND RELATED OFFENSES,8
Feb,14,HARRASSMENT 2,6
Feb,14,MISCELLANEOUS PENAL LAW,2
Feb,14,ROBBERY,1
Feb,18,ASSAULT 3 AND RELATED OFFENSES,7
Feb,18,DANGEROUS WEAPONS,1
Feb,18,HARRASSMENT 2,2
