year,month,day_of_week,hour_of_day,timestamp,origin_station_complex_id,origin_station_complex_name,origin_latitude,origin_longitude,destination_station_complex_id,destination_station_complex_name,destination_latitude,destination_longitude,estimated_average_ridership,origin_point,destination_point
2024,1,Monday,0,2024-01-08T00:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,11.6186,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,1,2024-01-08T01:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,10.6548,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,2,2024-01-08T02:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,7.288,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,3,2024-01-08T03:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,1.5286,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,4,2024-01-08T04:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,0.5426,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,5,2024-01-08T05:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,30.5516,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,6,2024-01-08T06:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,138.685,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,7,2024-01-08T07:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,414.2728,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,8,2024-01-08T08:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,606.8698,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,9,2024-01-08T09:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,270.5286,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,10,2024-01-08T10:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,136.4562,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,11,2024-01-08T11:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,111.9486,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,12,2024-01-08T12:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,124.4372,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,13,2024-01-08T13:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,115.5798,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,14,2024-01-08T14:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,115.4964,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
2024,1,Monday,15,2024-01-08T15:00:00.000,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,127.3152,"{'type': 'Point', 'coordinates': [-73.977359, 40.751992]}","{'type': 'Point', 'coordinates': [-74.007838, 40.710089]}"
