Precinct,CrimeName,CrimeCount
1,ASSAULT 3 AND RELATED OFFENSES,76
1,BURGLARY,1
1,DISORDERLY CONDUCT,1
1,FELONY ASSAULT,22
1,HARRASSMENT 2,69
1,KIDNAPPING AND RELATED OFFENSES,1
1,OFF. AGNST PUB ORD SENSBLTY AND,11
1,OFFENSES AGAINST THE PERSON,2
1,ROBBERY,22
1,SEX CRIMES,18
5,ASSAULT 3 AND RELATED OFFENSES,27
5,DANGEROUS WEAPONS,1
5,DISORDERLY CONDUCT,2
5,FELONY ASSAULT,5
5,HARRASSMENT 2,25
5,MISCELLANEOUS PENAL LAW,3
5,OFF. AGNST PUB ORD SENSBLTY AND,4
5,OFFENSES AGAINST THE PERSON,1
5,ROBBERY,9
5,SEX CRIMES,12
6,ARSON,1
6,ASSAULT 3 AND RELATED OFFENSES,51
6,DISORDERLY CONDUCT,1
6,FELONY ASSAULT,8
6,HARRASSMENT 2,23
6,MISCELLANEOUS PENAL LAW,1
6,OFF. AGNST PUB ORD SENSBLTY AND,6
6,OFFENSES AGAINST THE PERSON,2
6,RAPE,1
6,ROBBERY,6
6,SEX CRIMES,5
7,ASSAULT 3 AND RELATED OFFENSES,17
7,FELONY ASSAULT,5
7,HARRASSMENT 2,19
7,OFF. AGNST PUB ORD SENSBLTY AND,2
7,OFFENSES AGAINST THE PERSON,1
7,ROBBERY,4
7,SEX CRIMES,1
9,ASSAULT 3 AND RELATED OFFENSES,11
9,FELONY ASSAULT,2
9,HARRASSMENT 2,10
9,MISCELLANEOUS PENAL LAW,3
9,OFF. AGNST PUB ORD SENSBLTY AND,3
9,OFFENSES AGAINST THE PERSON,1
9,ROBBERY,4
9,SEX CRIMES,6
10,ASSAULT 3 AND RELATED OFFENSES,1
10,FELONY ASSAULT,9
10,HARRASSMENT 2,5
10,OFF. AGNST PUB ORD SENSBLTY AND,1
10,OFFENSES AGAINST THE PERSON,1
10,ROBBERY,1
10,SEX CRIMES,1
13,ASSAULT 3 AND RELATED OFFENSES,14
13,BURGLARY,1
13,DANGEROUS WEAPONS,3
13,FELONY ASSAULT,3
13,HARRASSMENT 2,13
13,MISCELLANEOUS PENAL LAW,3
13,OFF. AGNST PUB ORD SENSBLTY AND,1
13,OFFENSES AGAINST THE PERSON,1
13,RAPE,1
13,ROBBERY,3
13,SEX CRIMES,2
14,ASSAULT 3 AND RELATED OFFENSES,85
14,BURGLARY,1
14,DANGEROUS WEAPONS,1
14,DISORDERLY CONDUCT,2
14,FELONY ASSAULT,25
14,HARRASSMENT 2,67
14,MISCELLANEOUS PENAL LAW,2
14,OFF. AGNST PUB ORD SENSBLTY AND,11
