origin_station_complex_name,day_of_week,hour_of_day,avg(sum_estimated_average_ridership)
1 Av (L),Friday,0,208.62452499999995
1 Av (L),Friday,1,84.13498333333334
1 Av (L),Friday,2,43.03319166666666
1 Av (L),Friday,3,25.16825833333333
1 Av (L),Friday,4,19.158558333333335
1 Av (L),Friday,5,60.660283333333346
1 Av (L),Friday,6,247.40891666666667
1 Av (L),Friday,7,674.0587
1 Av (L),Friday,8,1104.2691416666667
1 Av (L),Friday,9,877.4300999999999
1 Av (L),Friday,10,685.8815083333333
1 Av (L),Friday,11,699.4868083333334
1 Av (L),Friday,12,775.7498999999999
1 Av (L),Friday,13,870.4877416666667
1 Av (L),Friday,14,1261.6314083333334
1 Av (L),Friday,15,1447.6094750000002
1 Av (L),Friday,16,1510.370541666667
1 Av (L),Friday,17,1712.3507083333332
1 Av (L),Friday,18,1672.436175
1 Av (L),Friday,19,1541.4268916666667
1 Av (L),Friday,20,1221.4328916666666
1 Av (L),Friday,21,1055.663941666667
1 Av (L),Friday,22,987.4520749999998
1 Av (L),Friday,23,749.7540583333331
1 Av (L),Monday,0,111.91985
1 Av (L),Monday,1,52.065341666666654
1 Av (L),Monday,2,30.812866666666665
1 Av (L),Monday,3,20.666741666666663
1 Av (L),Monday,4,18.323825
1 Av (L),Monday,5,63.460675
1 Av (L),Monday,6,260.6942
1 Av (L),Monday,7,785.7308666666667
1 Av (L),Monday,8,1510.7317916666668
1 Av (L),Monday,9,997.8369666666667
1 Av (L),Monday,10,641.6159666666666
1 Av (L),Monday,11,626.4005000000001
1 Av (L),Monday,12,655.0560916666665
1 Av (L),Monday,13,732.8007666666667
1 Av (L),Monday,14,1107.9504666666667
1 Av (L),Monday,15,1305.3875166666667
1 Av (L),Monday,16,1351.7619416666666
1 Av (L),Monday,17,1534.4978333333331
1 Av (L),Monday,18,1330.7574916666667
1 Av (L),Monday,19,995.3883666666666
1 Av (L),Monday,20,776.6047083333333
1 Av (L),Monday,21,640.978475
1 Av (L),Monday,22,467.98459166666663
1 Av (L),Monday,23,283.3369
1 Av (L),Saturday,0,458.29197500000004
1 Av (L),Saturday,1,246.3996333333333
1 Av (L),Saturday,2,144.19415833333332
1 Av (L),Saturday,3,78.25354166666666
1 Av (L),Saturday,4,45.821325
1 Av (L),Saturday,5,35.267741666666666
1 Av (L),Saturday,6,72.32333333333332
1 Av (L),Saturday,7,168.0678166666667
1 Av (L),Saturday,8,287.392075
1 Av (L),Saturday,9,417.9814833333333
1 Av (L),Saturday,10,588.5052000000001
1 Av (L),Saturday,11,760.748475
1 Av (L),Saturday,12,916.4592916666666
